area_id,area_name,source,calendar_quarter,sex,age_group,population,asfr
MWI_4_1,,Census 2018,CY2009Q2,female,Y005_009,14528.4941918409,
MWI_4_1,,Census 2018,CY2009Q2,female,Y010_014,12967.3734982642,
MWI_4_1,,Census 2018,CY2009Q2,female,Y015_019,11613.5170596374,0.150005810237511
MWI_4_1,,Census 2018,CY2009Q2,female,Y020_024,8254.78896224642,0.269032034374109
MWI_4_1,,Census 2018,CY2009Q2,female,Y025_029,5923.12666172213,0.244087791033121
MWI_4_1,,Census 2018,CY2009Q2,female,Y030_034,5462.1545305289,0.219475845529614
MWI_4_1,,Census 2018,CY2009Q2,female,Y035_039,4873.3819409311,0.166475684175442
MWI_4_1,,Census 2018,CY2009Q2,female,Y040_044,3695.37185827657,0.08033002856152
MWI_4_1,,Census 2018,CY2009Q2,female,Y045_049,2777.61482374237,0.032762754759665
MWI_4_1,,Census 2018,CY2009Q2,female,Y050_054,2077.70144006562,
MWI_4_1,,Census 2018,CY2009Q2,female,Y055_059,1528.93821149396,
MWI_4_1,,Census 2018,CY2009Q2,female,Y060_064,1457.77421418752,
MWI_4_1,,Census 2018,CY2009Q2,female,Y065_069,1323.72752077254,
MWI_4_1,,Census 2018,CY2009Q2,female,Y070_074,1058.58517272018,
MWI_4_1,,Census 2018,CY2009Q2,female,Y075_079,707.952266886608,
MWI_4_1,,Census 2018,CY2009Q2,female,Y080_999,752.089824252735,
MWI_4_1,,Census 2018,CY2009Q2,male,Y000_004,16342.0568222017,
MWI_4_1,,Census 2018,CY2009Q2,male,Y005_009,13821.1963225868,
MWI_4_1,,Census 2018,CY2009Q2,male,Y010_014,12691.8173020278,
MWI_4_1,,Census 2018,CY2009Q2,male,Y015_019,10907.8303918883,
MWI_4_1,,Census 2018,CY2009Q2,male,Y020_024,7858.17404192831,
MWI_4_1,,Census 2018,CY2009Q2,male,Y025_029,5236.16873420549,
MWI_4_1,,Census 2018,CY2009Q2,male,Y030_034,4272.9773879394,
MWI_4_1,,Census 2018,CY2009Q2,male,Y035_039,3894.97977029529,
MWI_4_1,,Census 2018,CY2009Q2,male,Y040_044,3451.62630757136,
MWI_4_1,,Census 2018,CY2009Q2,male,Y045_049,2676.05073963566,
MWI_4_1,,Census 2018,CY2009Q2,male,Y050_054,2006.66609413475,
MWI_4_1,,Census 2018,CY2009Q2,male,Y055_059,1330.14110292679,
MWI_4_1,,Census 2018,CY2009Q2,male,Y060_064,1135.81018338068,
MWI_4_1,,Census 2018,CY2009Q2,male,Y065_069,1017.24549291703,
MWI_4_1,,Census 2018,CY2009Q2,male,Y070_074,991.15260411555,
MWI_4_1,,Census 2018,CY2009Q2,male,Y075_079,660.570137816553,
MWI_4_1,,Census 2018,CY2009Q2,male,Y080_999,680.812068593473,
MWI_4_1,,Census 2018,CY2010Q2,female,Y000_004,16722.5797731187,
MWI_4_1,,Census 2018,CY2010Q2,female,Y005_009,14547.2983058574,
MWI_4_1,,Census 2018,CY2010Q2,female,Y010_014,13579.7508567484,
MWI_4_1,,Census 2018,CY2010Q2,female,Y015_019,11826.9517497929,0.148870809173451
MWI_4_1,,Census 2018,CY2010Q2,female,Y020_024,8874.41564017022,0.266368305437681
MWI_4_1,,Census 2018,CY2010Q2,female,Y025_029,5944.49477235803,0.238766553430546
MWI_4_1,,Census 2018,CY2010Q2,female,Y030_034,5506.38611364483,0.210019400003568
MWI_4_1,,Census 2018,CY2010Q2,female,Y035_039,5046.08823797689,0.15402408460043
MWI_4_1,,Census 2018,CY2010Q2,female,Y040_044,3890.33471585101,0.072779115959426
MWI_4_1,,Census 2018,CY2010Q2,female,Y045_049,2867.36414844876,0.029751030403548
MWI_4_1,,Census 2018,CY2010Q2,female,Y050_054,2188.02371853331,
MWI_4_1,,Census 2018,CY2010Q2,female,Y055_059,1584.57644007247,
MWI_4_1,,Census 2018,CY2010Q2,female,Y060_064,1424.19248613027,
MWI_4_1,,Census 2018,CY2010Q2,female,Y065_069,1375.66015048981,
MWI_4_1,,Census 2018,CY2010Q2,female,Y070_074,1069.74963753425,
MWI_4_1,,Census 2018,CY2010Q2,female,Y075_079,769.103330049852,
MWI_4_1,,Census 2018,CY2010Q2,female,Y080_999,730.27978361031,
MWI_4_1,,Census 2018,CY2010Q2,male,Y000_004,16750.1048374429,
MWI_4_1,,Census 2018,CY2010Q2,male,Y005_009,13810.8325051469,
MWI_4_1,,Census 2018,CY2010Q2,male,Y010_014,13198.4852499888,
MWI_4_1,,Census 2018,CY2010Q2,male,Y015_019,11271.1177391064,
MWI_4_1,,Census 2018,CY2010Q2,male,Y020_024,8297.7401338545,
MWI_4_1,,Census 2018,CY2010Q2,male,Y025_029,5372.09462226991,
MWI_4_1,,Census 2018,CY2010Q2,male,Y030_034,4323.45854899783,
MWI_4_1,,Census 2018,CY2010Q2,male,Y035_039,4018.30231904478,
MWI_4_1,,Census 2018,CY2010Q2,male,Y040_044,3611.67567631697,
MWI_4_1,,Census 2018,CY2010Q2,male,Y045_049,2829.90678136776,
MWI_4_1,,Census 2018,CY2010Q2,male,Y050_054,2096.91813432178,
MWI_4_1,,Census 2018,CY2010Q2,male,Y055_059,1420.65898126456,
MWI_4_1,,Census 2018,CY2010Q2,male,Y060_064,1105.53105975692,
MWI_4_1,,Census 2018,CY2010Q2,male,Y065_069,1047.80872606143,
MWI_4_1,,Census 2018,CY2010Q2,male,Y070_074,958.751766108245,
MWI_4_1,,Census 2018,CY2010Q2,male,Y075_079,746.477700868797,
MWI_4_1,,Census 2018,CY2010Q2,male,Y080_999,686.574931068742,
MWI_4_1,,Census 2018,CY2011Q2,female,Y000_004,17009.9999475749,
MWI_4_1,,Census 2018,CY2011Q2,female,Y005_009,14527.9681403343,
MWI_4_1,,Census 2018,CY2011Q2,female,Y010_014,14249.3544666299,
MWI_4_1,,Census 2018,CY2011Q2,female,Y015_019,11954.2710177078,0.147730404814971
MWI_4_1,,Census 2018,CY2011Q2,female,Y020_024,9541.11038902898,0.26198178100589
MWI_4_1,,Census 2018,CY2011Q2,female,Y025_029,6020.71038308733,0.232461486312442
MWI_4_1,,Census 2018,CY2011Q2,female,Y030_034,5550.27308028128,0.201630598677812
MWI_4_1,,Census 2018,CY2011Q2,female,Y035_039,5197.22410875731,0.144688883986195
MWI_4_1,,Census 2018,CY2011Q2,female,Y040_044,4091.21753570014,0.067947476001257
MWI_4_1,,Census 2018,CY2011Q2,female,Y045_049,2956.54613459301,0.027828652630503
MWI_4_1,,Census 2018,CY2011Q2,female,Y050_054,2304.12218521753,
MWI_4_1,,Census 2018,CY2011Q2,female,Y055_059,1658.97408315182,
MWI_4_1,,Census 2018,CY2011Q2,female,Y060_064,1389.50846804564,
MWI_4_1,,Census 2018,CY2011Q2,female,Y065_069,1427.7940374037,
MWI_4_1,,Census 2018,CY2011Q2,female,Y070_074,1077.5844503416,
MWI_4_1,,Census 2018,CY2011Q2,female,Y075_079,824.252878241454,
MWI_4_1,,Census 2018,CY2011Q2,female,Y080_999,731.455536702688,
MWI_4_1,,Census 2018,CY2011Q2,male,Y000_004,17124.4194903505,
MWI_4_1,,Census 2018,CY2011Q2,male,Y005_009,13793.6920640603,
MWI_4_1,,Census 2018,CY2011Q2,male,Y010_014,13712.7528540479,
MWI_4_1,,Census 2018,CY2011Q2,male,Y015_019,11586.7420209643,
MWI_4_1,,Census 2018,CY2011Q2,male,Y020_024,8753.57195384073,
MWI_4_1,,Census 2018,CY2011Q2,male,Y025_029,5552.38363682491,
MWI_4_1,,Census 2018,CY2011Q2,male,Y030_034,4398.32120194505,
MWI_4_1,,Census 2018,CY2011Q2,male,Y035_039,4142.80174885307,
MWI_4_1,,Census 2018,CY2011Q2,male,Y040_044,3762.55923817774,
MWI_4_1,,Census 2018,CY2011Q2,male,Y045_049,2990.92420043436,
MWI_4_1,,Census 2018,CY2011Q2,male,Y050_054,2184.29131712729,
MWI_4_1,,Census 2018,CY2011Q2,male,Y055_059,1521.98774583711,
MWI_4_1,,Census 2018,CY2011Q2,male,Y060_064,1086.6171600597,
MWI_4_1,,Census 2018,CY2011Q2,male,Y065_069,1086.44838820833,
MWI_4_1,,Census 2018,CY2011Q2,male,Y070_074,923.619846247038,
MWI_4_1,,Census 2018,CY2011Q2,male,Y075_079,808.816865220933,
MWI_4_1,,Census 2018,CY2011Q2,male,Y080_999,708.234390334665,
MWI_4_1,,Census 2018,CY2012Q2,female,Y000_004,17305.2509144155,
MWI_4_1,,Census 2018,CY2012Q2,female,Y005_009,14491.2645299222,
MWI_4_1,,Census 2018,CY2012Q2,female,Y010_014,14922.709230104,
MWI_4_1,,Census 2018,CY2012Q2,female,Y015_019,12093.5336823283,0.145680871961972
MWI_4_1,,Census 2018,CY2012Q2,female,Y020_024,10149.1038340044,0.258649203234693
MWI_4_1,,Census 2018,CY2012Q2,female,Y025_029,6174.08491861391,0.226636940423587
MWI_4_1,,Census 2018,CY2012Q2,female,Y030_034,5621.05171804972,0.193078175886589
MWI_4_1,,Census 2018,CY2012Q2,female,Y035_039,5322.69185828414,0.137361471529697
MWI_4_1,,Census 2018,CY2012Q2,female,Y040_044,4277.95609462417,0.064542237969513
MWI_4_1,,Census 2018,CY2012Q2,female,Y045_049,3063.88570234013,0.026376425593307
MWI_4_1,,Census 2018,CY2012Q2,female,Y050_054,2416.57120944342,
MWI_4_1,,Census 2018,CY2012Q2,female,Y055_059,1745.45086887445,
MWI_4_1,,Census 2018,CY2012Q2,female,Y060_064,1370.57221729187,
MWI_4_1,,Census 2018,CY2012Q2,female,Y065_069,1471.53014862131,
MWI_4_1,,Census 2018,CY2012Q2,female,Y070_074,1086.94879543092,
MWI_4_1,,Census 2018,CY2012Q2,female,Y075_079,866.592168025888,
MWI_4_1,,Census 2018,CY2012Q2,female,Y080_999,753.998097683817,
MWI_4_1,,Census 2018,CY2012Q2,male,Y000_004,17485.9596392855,
MWI_4_1,,Census 2018,CY2012Q2,male,Y005_009,13754.4021792386,
MWI_4_1,,Census 2018,CY2012Q2,male,Y010_014,14238.6507696917,
MWI_4_1,,Census 2018,CY2012Q2,male,Y015_019,11893.2931277905,
MWI_4_1,,Census 2018,CY2012Q2,male,Y020_024,9174.00200355283,
MWI_4_1,,Census 2018,CY2012Q2,male,Y025_029,5776.66494554943,
MWI_4_1,,Census 2018,CY2012Q2,male,Y030_034,4510.99068203623,
MWI_4_1,,Census 2018,CY2012Q2,male,Y035_039,4275.00288564881,
MWI_4_1,,Census 2018,CY2012Q2,male,Y040_044,3908.49366393993,
MWI_4_1,,Census 2018,CY2012Q2,male,Y045_049,3146.74347968357,
MWI_4_1,,Census 2018,CY2012Q2,male,Y050_054,2276.21120922517,
MWI_4_1,,Census 2018,CY2012Q2,male,Y055_059,1626.10616256313,
MWI_4_1,,Census 2018,CY2012Q2,male,Y060_064,1084.60984612925,
MWI_4_1,,Census 2018,CY2012Q2,male,Y065_069,1122.27324263176,
MWI_4_1,,Census 2018,CY2012Q2,male,Y070_074,897.15003786486,
MWI_4_1,,Census 2018,CY2012Q2,male,Y075_079,850.788118758375,
MWI_4_1,,Census 2018,CY2012Q2,male,Y080_999,740.466783820656,
MWI_4_1,,Census 2018,CY2013Q2,female,Y000_004,17613.325764178,
MWI_4_1,,Census 2018,CY2013Q2,female,Y005_009,14438.2190436157,
MWI_4_1,,Census 2018,CY2013Q2,female,Y010_014,15565.2991825057,
MWI_4_1,,Census 2018,CY2013Q2,female,Y015_019,12313.6994353467,0.134515302568164
MWI_4_1,,Census 2018,CY2013Q2,female,Y020_024,10635.7883267952,0.237799891833666
MWI_4_1,,Census 2018,CY2013Q2,female,Y025_029,6403.83164140955,0.206579071717715
MWI_4_1,,Census 2018,CY2013Q2,female,Y030_034,5735.31036427501,0.175703181555381
MWI_4_1,,Census 2018,CY2013Q2,female,Y035_039,5434.0037246496,0.125364052499726
MWI_4_1,,Census 2018,CY2013Q2,female,Y040_044,4431.90465034487,0.058233131133804
MWI_4_1,,Census 2018,CY2013Q2,female,Y045_049,3185.39759891227,0.023758829203715
MWI_4_1,,Census 2018,CY2013Q2,female,Y050_054,2536.18834514945,
MWI_4_1,,Census 2018,CY2013Q2,female,Y055_059,1833.8255665366,
MWI_4_1,,Census 2018,CY2013Q2,female,Y060_064,1374.58354608417,
MWI_4_1,,Census 2018,CY2013Q2,female,Y065_069,1501.65622688845,
MWI_4_1,,Census 2018,CY2013Q2,female,Y070_074,1101.42976108491,
MWI_4_1,,Census 2018,CY2013Q2,female,Y075_079,905.146872176999,
MWI_4_1,,Census 2018,CY2013Q2,female,Y080_999,789.634006922546,
MWI_4_1,,Census 2018,CY2013Q2,male,Y000_004,17849.6151668312,
MWI_4_1,,Census 2018,CY2013Q2,male,Y005_009,13675.7855151775,
MWI_4_1,,Census 2018,CY2013Q2,male,Y010_014,14771.8997848742,
MWI_4_1,,Census 2018,CY2013Q2,male,Y015_019,12213.72433305,
MWI_4_1,,Census 2018,CY2013Q2,male,Y020_024,9537.04671090588,
MWI_4_1,,Census 2018,CY2013Q2,male,Y025_029,6031.61567069927,
MWI_4_1,,Census 2018,CY2013Q2,male,Y030_034,4678.96075600316,
MWI_4_1,,Census 2018,CY2013Q2,male,Y035_039,4419.72202676428,
MWI_4_1,,Census 2018,CY2013Q2,male,Y040_044,4047.42083904262,
MWI_4_1,,Census 2018,CY2013Q2,male,Y045_049,3293.05607673224,
MWI_4_1,,Census 2018,CY2013Q2,male,Y050_054,2376.65775632536,
MWI_4_1,,Census 2018,CY2013Q2,male,Y055_059,1724.32138971769,
MWI_4_1,,Census 2018,CY2013Q2,male,Y060_064,1110.36527226859,
MWI_4_1,,Census 2018,CY2013Q2,male,Y065_069,1151.45378849889,
MWI_4_1,,Census 2018,CY2013Q2,male,Y070_074,882.794339148849,
MWI_4_1,,Census 2018,CY2013Q2,male,Y075_079,874.904613203048,
MWI_4_1,,Census 2018,CY2013Q2,male,Y080_999,774.377033831031,
MWI_4_1,,Census 2018,CY2014Q2,female,Y000_004,17294.2323708281,
MWI_4_1,,Census 2018,CY2014Q2,female,Y005_009,15142.9529586382,
MWI_4_1,,Census 2018,CY2014Q2,female,Y010_014,16153.6680847593,
MWI_4_1,,Census 2018,CY2014Q2,female,Y015_019,12630.0273812803,0.133675322864045
MWI_4_1,,Census 2018,CY2014Q2,female,Y020_024,10950.6181685753,0.230337000284563
MWI_4_1,,Census 2018,CY2014Q2,female,Y025_029,6740.80385347717,0.198023030721627
MWI_4_1,,Census 2018,CY2014Q2,female,Y030_034,5896.66308865276,0.166276731583806
MWI_4_1,,Census 2018,CY2014Q2,female,Y035_039,5519.59492868975,0.117324589240019
MWI_4_1,,Census 2018,CY2014Q2,female,Y040_044,4559.16355114204,0.054288952674738
MWI_4_1,,Census 2018,CY2014Q2,female,Y045_049,3326.58725913483,0.022021723166904
MWI_4_1,,Census 2018,CY2014Q2,female,Y050_054,2649.80083039056,
MWI_4_1,,Census 2018,CY2014Q2,female,Y055_059,1928.62848823482,
MWI_4_1,,Census 2018,CY2014Q2,female,Y060_064,1407.25059132711,
MWI_4_1,,Census 2018,CY2014Q2,female,Y065_069,1517.00860902208,
MWI_4_1,,Census 2018,CY2014Q2,female,Y070_074,1116.51282999962,
MWI_4_1,,Census 2018,CY2014Q2,female,Y075_079,933.224614069582,
MWI_4_1,,Census 2018,CY2014Q2,female,Y080_999,842.50586404975,
MWI_4_1,,Census 2018,CY2014Q2,male,Y000_004,17407.4902519085,
MWI_4_1,,Census 2018,CY2014Q2,male,Y005_009,14506.6106968787,
MWI_4_1,,Census 2018,CY2014Q2,male,Y010_014,15318.5853312691,
MWI_4_1,,Census 2018,CY2014Q2,male,Y015_019,12547.171371333,
MWI_4_1,,Census 2018,CY2014Q2,male,Y020_024,9822.57427758151,
MWI_4_1,,Census 2018,CY2014Q2,male,Y025_029,6325.18206134765,
MWI_4_1,,Census 2018,CY2014Q2,male,Y030_034,4916.04251572086,
MWI_4_1,,Census 2018,CY2014Q2,male,Y035_039,4573.19989081495,
MWI_4_1,,Census 2018,CY2014Q2,male,Y040_044,4185.77439769921,
MWI_4_1,,Census 2018,CY2014Q2,male,Y045_049,3426.76461147776,
MWI_4_1,,Census 2018,CY2014Q2,male,Y050_054,2487.83014118432,
MWI_4_1,,Census 2018,CY2014Q2,male,Y055_059,1807.29544348742,
MWI_4_1,,Census 2018,CY2014Q2,male,Y060_064,1170.17202448949,
MWI_4_1,,Census 2018,CY2014Q2,male,Y065_069,1170.01791712116,
MWI_4_1,,Census 2018,CY2014Q2,male,Y070_074,884.259461361529,
MWI_4_1,,Census 2018,CY2014Q2,male,Y075_079,876.889694758962,
MWI_4_1,,Census 2018,CY2014Q2,male,Y080_999,811.764010563135,
MWI_4_1,,Census 2018,CY2015Q2,female,Y000_004,16991.8474234678,
MWI_4_1,,Census 2018,CY2015Q2,female,Y005_009,15880.1236889007,
MWI_4_1,,Census 2018,CY2015Q2,female,Y010_014,16690.4656220998,
MWI_4_1,,Census 2018,CY2015Q2,female,Y015_019,13019.9608675226,0.130112061490356
MWI_4_1,,Census 2018,CY2015Q2,female,Y020_024,11121.4181609051,0.22115691132684
MWI_4_1,,Census 2018,CY2015Q2,female,Y025_029,7166.68033067946,0.188278820843448
MWI_4_1,,Census 2018,CY2015Q2,female,Y030_034,6106.33701916899,0.158005788198353
MWI_4_1,,Census 2018,CY2015Q2,female,Y035_039,5581.23120360267,0.110783598068257
MWI_4_1,,Census 2018,CY2015Q2,female,Y040_044,4663.44200754949,0.051459029773287
MWI_4_1,,Census 2018,CY2015Q2,female,Y045_049,3477.74477630309,0.020974658153193
MWI_4_1,,Census 2018,CY2015Q2,female,Y050_054,2764.47741961188,
MWI_4_1,,Census 2018,CY2015Q2,female,Y055_059,2026.23165485075,
MWI_4_1,,Census 2018,CY2015Q2,female,Y060_064,1461.97594361644,
MWI_4_1,,Census 2018,CY2015Q2,female,Y065_069,1520.17519601101,
MWI_4_1,,Census 2018,CY2015Q2,female,Y070_074,1136.25479721125,
MWI_4_1,,Census 2018,CY2015Q2,female,Y075_079,956.21531645569,
MWI_4_1,,Census 2018,CY2015Q2,female,Y080_999,907.974283882417,
MWI_4_1,,Census 2018,CY2015Q2,male,Y000_004,16991.107222431,
MWI_4_1,,Census 2018,CY2015Q2,male,Y005_009,15322.5762831166,
MWI_4_1,,Census 2018,CY2015Q2,male,Y010_014,15878.1823631253,
MWI_4_1,,Census 2018,CY2015Q2,male,Y015_019,12880.4475707483,
MWI_4_1,,Census 2018,CY2015Q2,male,Y020_024,10041.2410374118,
MWI_4_1,,Census 2018,CY2015Q2,male,Y025_029,6651.50518262105,
MWI_4_1,,Census 2018,CY2015Q2,male,Y030_034,5223.40394340396,
MWI_4_1,,Census 2018,CY2015Q2,male,Y035_039,4735.91348749941,
MWI_4_1,,Census 2018,CY2015Q2,male,Y040_044,4322.48049880814,
MWI_4_1,,Census 2018,CY2015Q2,male,Y045_049,3546.06320221659,
MWI_4_1,,Census 2018,CY2015Q2,male,Y050_054,2612.47249950054,
MWI_4_1,,Census 2018,CY2015Q2,male,Y055_059,1875.57517884781,
MWI_4_1,,Census 2018,CY2015Q2,male,Y060_064,1254.29412961092,
MWI_4_1,,Census 2018,CY2015Q2,male,Y065_069,1180.9871783279,
MWI_4_1,,Census 2018,CY2015Q2,male,Y070_074,904.342918946386,
MWI_4_1,,Census 2018,CY2015Q2,male,Y075_079,864.894091970142,
MWI_4_1,,Census 2018,CY2015Q2,male,Y080_999,847.888454827311,
MWI_4_1,,Census 2018,CY2016Q2,female,Y000_004,16688.1970318658,
MWI_4_1,,Census 2018,CY2016Q2,female,Y005_009,16661.7533211544,
MWI_4_1,,Census 2018,CY2016Q2,female,Y010_014,17199.0958972368,
MWI_4_1,,Census 2018,CY2016Q2,female,Y015_019,13449.0126638296,0.13081644281904
MWI_4_1,,Census 2018,CY2016Q2,female,Y020_024,11201.3568767536,0.221751090650637
MWI_4_1,,Census 2018,CY2016Q2,female,Y025_029,7620.3766916247,0.190238639527444
MWI_4_1,,Census 2018,CY2016Q2,female,Y030_034,6386.26324386246,0.158739619709951
MWI_4_1,,Census 2018,CY2016Q2,female,Y035_039,5641.21574619167,0.111091904047167
MWI_4_1,,Census 2018,CY2016Q2,female,Y040_044,4737.04500620406,0.052253923797553
MWI_4_1,,Census 2018,CY2016Q2,female,Y045_049,3632.92826595451,0.021380169037028
MWI_4_1,,Census 2018,CY2016Q2,female,Y050_054,2878.42088766164,
MWI_4_1,,Census 2018,CY2016Q2,female,Y055_059,2130.99427062832,
MWI_4_1,,Census 2018,CY2016Q2,female,Y060_064,1534.17214775746,
MWI_4_1,,Census 2018,CY2016Q2,female,Y065_069,1522.43482127214,
MWI_4_1,,Census 2018,CY2016Q2,female,Y070_074,1154.86338701737,
MWI_4_1,,Census 2018,CY2016Q2,female,Y075_079,976.990390048723,
MWI_4_1,,Census 2018,CY2016Q2,female,Y080_999,983.471903052361,
MWI_4_1,,Census 2018,CY2016Q2,male,Y000_004,16578.2254282282,
MWI_4_1,,Census 2018,CY2016Q2,male,Y005_009,16151.4295261946,
MWI_4_1,,Census 2018,CY2016Q2,male,Y010_014,16448.2267999182,
MWI_4_1,,Census 2018,CY2016Q2,male,Y015_019,13211.3076609979,
MWI_4_1,,Census 2018,CY2016Q2,male,Y020_024,10204.561945281,
MWI_4_1,,Census 2018,CY2016Q2,male,Y025_029,6985.72602260375,
MWI_4_1,,Census 2018,CY2016Q2,male,Y030_034,5600.47798484127,
MWI_4_1,,Census 2018,CY2016Q2,male,Y035_039,4932.80633496814,
MWI_4_1,,Census 2018,CY2016Q2,male,Y040_044,4455.6659686233,
MWI_4_1,,Census 2018,CY2016Q2,male,Y045_049,3650.62737343874,
MWI_4_1,,Census 2018,CY2016Q2,male,Y050_054,2739.72326276341,
MWI_4_1,,Census 2018,CY2016Q2,male,Y055_059,1947.21464324661,
MWI_4_1,,Census 2018,CY2016Q2,male,Y060_064,1347.97739184549,
MWI_4_1,,Census 2018,CY2016Q2,male,Y065_069,1203.00534392163,
MWI_4_1,,Census 2018,CY2016Q2,male,Y070_074,928.627726530156,
MWI_4_1,,Census 2018,CY2016Q2,male,Y075_079,847.620329641502,
MWI_4_1,,Census 2018,CY2016Q2,male,Y080_999,879.96718280834,
MWI_4_1,,Census 2018,CY2017Q2,female,Y000_004,16376.470923216,
MWI_4_1,,Census 2018,CY2017Q2,female,Y005_009,17491.7695377918,
MWI_4_1,,Census 2018,CY2017Q2,female,Y010_014,17690.8094630826,
MWI_4_1,,Census 2018,CY2017Q2,female,Y015_019,13866.9972751439,0.133663961745501
MWI_4_1,,Census 2018,CY2017Q2,female,Y020_024,11294.3736304224,0.227141993217809
MWI_4_1,,Census 2018,CY2017Q2,female,Y025_029,8006.25761993482,0.195416145922938
MWI_4_1,,Census 2018,CY2017Q2,female,Y030_034,6763.41513739339,0.163867255887627
MWI_4_1,,Census 2018,CY2017Q2,female,Y035_039,5732.23996863627,0.115204959803584
MWI_4_1,,Census 2018,CY2017Q2,female,Y040_044,4788.31445919852,0.054990217730779
MWI_4_1,,Census 2018,CY2017Q2,female,Y045_049,3768.60885856066,0.022585456100893
MWI_4_1,,Census 2018,CY2017Q2,female,Y050_054,3015.54578082598,
MWI_4_1,,Census 2018,CY2017Q2,female,Y055_059,2229.57587518524,
MWI_4_1,,Census 2018,CY2017Q2,female,Y060_064,1616.70174036082,
MWI_4_1,,Census 2018,CY2017Q2,female,Y065_069,1542.1549187924,
MWI_4_1,,Census 2018,CY2017Q2,female,Y070_074,1164.23222587786,
MWI_4_1,,Census 2018,CY2017Q2,female,Y075_079,998.921765565577,
MWI_4_1,,Census 2018,CY2017Q2,female,Y080_999,1064.00289625789,
MWI_4_1,,Census 2018,CY2017Q2,male,Y000_004,16162.7939084912,
MWI_4_1,,Census 2018,CY2017Q2,male,Y005_009,17005.1166777131,
MWI_4_1,,Census 2018,CY2017Q2,male,Y010_014,17015.0525849556,
MWI_4_1,,Census 2018,CY2017Q2,male,Y015_019,13535.3283083667,
MWI_4_1,,Census 2018,CY2017Q2,male,Y020_024,10356.2081531941,
MWI_4_1,,Census 2018,CY2017Q2,male,Y025_029,7283.92413088205,
MWI_4_1,,Census 2018,CY2017Q2,male,Y030_034,6045.56349481787,
MWI_4_1,,Census 2018,CY2017Q2,male,Y035_039,5183.20216950804,
MWI_4_1,,Census 2018,CY2017Q2,male,Y040_044,4602.00779752434,
MWI_4_1,,Census 2018,CY2017Q2,male,Y045_049,3746.84457546963,
MWI_4_1,,Census 2018,CY2017Q2,male,Y050_054,2856.95567294924,
MWI_4_1,,Census 2018,CY2017Q2,male,Y055_059,2019.78491023876,
MWI_4_1,,Census 2018,CY2017Q2,male,Y060_064,1442.97965010315,
MWI_4_1,,Census 2018,CY2017Q2,male,Y065_069,1246.67419410204,
